ACCEPT_ON_K "accept_on"
WITHIN_K "within"
WITH_K "with"
WOR_K "wor"
XNOR_K "xnor"
XOR_K "xor"
W1STEP_K "1step"
PATHPULSE_K "PATHPULSE$"
DS_SETUP_K "$setup"
DS_REMOVAL_K "$removal"
DS_PERIOD_K "$period"
DS_RECREM_K "$recrem"
DS_SETUPHOLD_K "$setuphold"
DS_RECOVERY_K "$recovery"
DS_HOLD_K "$hold"
DS_WIDTH_K "$width"
DS_SKEW_K "$skew"
DS_FULLSKEW_K "$fullskew"
DS_TIMESKEW_K "$timeskew"
DS_NOCHANGE_K "$nochange"
DS_FATAL_K "$fatal"
DS_ERROR_K "$error"
DS_WARNING_K "$warning"
DS_INFO_K "$info"
DS_UNIT_K "$unit"
DS_ROOT_K "$root"
AND "&"
AND2 "&&"
AND3 "&&&"
AND_EQ "&="
AT "@"
AT2 "@@"
AT_STAR "@*"
BAR_EQ_GT "|=>"
BAR_MINUS_GT "|->"
COLON2 "::"
COLON ":"
COLON_DIV ":/"
COLON_EQ ":="
COMMA ","
DIV "/"
DIV_EQ "/="
DOLLAR "$"
DOT "."
DOT_STAR ".*"
EQ2 "=="
EQ2_QMARK "==?"
EQ3 "==="
EQ "="
EQ_GT "=>"
GT2 ">>"
GT2_EQ ">>="
GT3_EQ ">>>="
GT ">"
GT3 ">>>"
GT_EQ ">="
LBRACK "["
LCURLY "{"
LPAREN "("
LPAREN_STAR "(*"
LT2 "<<"
LT2_EQ "<<="
LT3_EQ "<<<="
LT "<"
LT3 "<<<"
LT_EQ "<="
LT_MINUS_GT "<->"
MINUS2 "--"
MINUS "-"
MINUS_COLON "-:"
MINUS_EQ "-="
MINUS_GT2 "->>"
MINUS_GT "->"
MOD "%"
MOD_EQ "%="
NOT "!"
NOT_EQ2 "!=="
NOT_EQ "!="
NOT_EQ_QMARK "!=?"
OR2 "||"
OR "|"
OR_EQ "|="
PLUS2 "++"
PLUS "+"
PLUS_COLON "+:"
PLUS_EQ "+="
POUND2 "##"
POUND "#"
POUND_EQ_POUND "#=#"
POUND_MINUS_POUND "#-#"
QMARK "?"
RBRACK "]"
RCURLY "}"
RPAREN ")"
SEMI ";"
STAR2 "**"
STAR "*"
STAR_COLON2_STAR "*::*"
STAR_EQ "*="
STAR_GT "*>"
STAR_RPAREN "*)"
TILDE "~"
TILDE_AND "~&"
TILDE_OR "~|"
TILDE_XOR "~^"
XOR "^"
XOR_EQ "^="
XOR_TILDE "^~"
IDENT {IDENT}
ESC_IDENT {ESC_IDENT}
UNSIGNED_NUMBER {UNSIGNED_NUMBER}
UNBASED_UNSIZED_LITERAL {UNBASED_UNSIZED_LITERAL}
NUMBER {NUMBER}
TIME_LITERAL {TIME_LITERAL}
SYSTEM_IDENT {SYSTEM_IDENT}
SQUOTE "'"
